Age,Career,Marital_Statues,Education,Mortage,Personal_Loan,Contact_Type,Number_of_Contacts,Subscribed
60,retired,married,primary education,no,no,telephone,4,no
25,self-employed,single,university education,no,no,telephone,7,no
35,administration,single,secondary education,no,no,telephone,1,no
40,services,single,secondary education,yes,yes,telephone,21,no
35,administration,divorced,secondary education,no,yes,telephone,15,no
58,unemployed,single,primary education,no,no,telephone,6,no
37,technician,married,primary education,no,no,telephone,3,no
42,blue-collar,married,primary education,no,no,telephone,4,no
32,services,married,secondary education,no,no,telephone,3,no
31,blue-collar,single,secondary education,yes,no,telephone,2,yes
30,technician,married,professional education,no,yes,telephone,1,no
34,administration,married,university education,yes,no,telephone,14,no
29,administration,married,university education,no,no,telephone,4,no
50,services,single,secondary education,no,no,telephone,3,no
25,unemployed,single,secondary education,yes,no,telephone,1,no
35,technician,married,university education,no,no,telephone,1,no
34,blue-collar,married,secondary education,no,yes,telephone,30,no
24,blue-collar,married,secondary education,no,no,telephone,2,no
52,retired,divorced,primary education,yes,no,telephone,3,no
59,retired,married,primary education,yes,no,telephone,3,no
26,blue-collar,married,secondary education,yes,no,telephone,35,no
55,blue-collar,married,primary education,no,no,telephone,1,no
31,blue-collar,married,secondary education,no,no,telephone,21,no
37,technician,single,secondary education,no,no,telephone,3,no
36,management,single,university education,no,no,telephone,6,no
54,technician,married,university education,no,no,telephone,4,no
24,services,single,secondary education,yes,no,telephone,3,no
53,technician,married,professional education,no,no,telephone,1,no
28,administration,married,university education,yes,no,telephone,2,no
32,technician,married,professional education,yes,no,telephone,2,no
57,services,divorced,secondary education,no,no,telephone,1,no
34,administration,married,university education,no,no,telephone,1,no
48,unemployed,divorced,primary education,no,yes,telephone,2,no
39,services,single,secondary education,no,yes,telephone,3,no
33,administration,married,secondary education,no,no,telephone,3,no
37,technician,single,university education,no,no,telephone,2,no
32,blue-collar,married,secondary education,no,no,telephone,2,no
42,administration,single,secondary education,no,no,telephone,3,no
34,blue-collar,married,primary education,no,no,telephone,7,no
35,administration,married,secondary education,no,no,telephone,2,no
47,blue-collar,married,secondary education,no,no,telephone,3,no
57,management,married,university education,no,no,telephone,3,no
44,blue-collar,married,primary education,yes,no,telephone,25,no
47,blue-collar,married,primary education,yes,no,telephone,4,yes
49,management,married,secondary education,yes,no,telephone,18,no
30,blue-collar,married,secondary education,no,no,telephone,6,no
41,blue-collar,married,secondary education,no,no,telephone,20,no
32,blue-collar,divorced,secondary education,yes,no,telephone,5,no
36,blue-collar,single,university education,no,no,telephone,2,no
30,technician,divorced,professional education,yes,no,telephone,3,no
40,blue-collar,married,secondary education,no,no,telephone,3,no
38,blue-collar,single,primary education,yes,no,telephone,6,no
51,administration,married,secondary education,no,no,telephone,12,no
55,management,married,university education,yes,no,telephone,5,no
54,technician,married,secondary education,no,no,telephone,5,no
32,student,single,university education,yes,no,telephone,2,no
29,blue-collar,single,secondary education,no,no,telephone,3,no
52,entrepreneur,divorced,primary education,no,no,telephone,4,no
55,administration,divorced,university education,no,no,telephone,2,no
41,technician,married,university education,yes,no,telephone,4,no
39,technician,married,professional education,no,no,telephone,2,no
36,blue-collar,single,primary education,yes,no,telephone,8,no
44,services,divorced,secondary education,no,no,telephone,3,no
37,administration,married,secondary education,no,no,telephone,16,no
36,technician,married,professional education,no,no,telephone,10,no
34,services,married,secondary education,no,yes,telephone,3,no
50,technician,married,professional education,yes,no,telephone,5,no
34,blue-collar,married,professional education,no,no,telephone,4,no
34,administration,married,university education,yes,no,telephone,3,no
36,services,married,secondary education,no,no,telephone,2,no
52,management,divorced,secondary education,no,no,telephone,4,no
45,blue-collar,divorced,primary education,yes,no,telephone,8,no
37,blue-collar,married,secondary education,no,no,telephone,3,no
38,blue-collar,divorced,secondary education,no,no,telephone,13,no
37,blue-collar,single,secondary education,no,no,telephone,7,no
37,blue-collar,married,secondary education,yes,no,telephone,4,no
30,technician,divorced,secondary education,yes,yes,telephone,2,no
48,services,divorced,primary education,yes,no,telephone,8,no
43,technician,single,professional education,no,no,telephone,2,no
31,services,married,secondary education,no,no,telephone,6,no
32,technician,single,university education,yes,no,telephone,2,no
35,blue-collar,married,secondary education,no,no,telephone,2,no
37,blue-collar,single,secondary education,no,no,telephone,3,no
29,blue-collar,married,secondary education,no,no,telephone,2,no
31,administration,divorced,secondary education,yes,yes,telephone,4,no
37,technician,single,university education,yes,yes,telephone,1,no
47,blue-collar,married,primary education,yes,yes,telephone,1,no
39,blue-collar,married,secondary education,no,yes,telephone,1,no
59,retired,single,secondary education,no,no,telephone,1,no
57,technician,divorced,university education,no,yes,telephone,1,no
46,administration,single,university education,yes,no,telephone,1,no
42,blue-collar,divorced,secondary education,no,no,telephone,1,no
39,self-employed,married,secondary education,yes,no,telephone,1,no
47,entrepreneur,married,professional education,yes,no,telephone,1,no
50,administration,married,secondary education,yes,no,telephone,1,no
26,technician,single,professional education,yes,no,telephone,3,no
50,administration,married,secondary education,no,no,telephone,1,no
54,management,divorced,university education,yes,no,telephone,1,no
46,housemaid,married,primary education,no,yes,telephone,1,no
34,administration,married,secondary education,no,no,telephone,1,no
43,blue-collar,married,secondary education,yes,no,telephone,1,no
31,services,single,university education,yes,no,telephone,1,no
25,student,single,secondary education,yes,no,telephone,1,no
36,blue-collar,single,secondary education,no,no,telephone,1,no
53,administration,married,secondary education,no,no,telephone,1,no
55,technician,married,university education,no,no,telephone,1,no
51,blue-collar,married,primary education,yes,no,telephone,1,no
39,blue-collar,married,primary education,no,no,telephone,4,no
41,administration,married,university education,yes,yes,telephone,1,no
38,blue-collar,single,primary education,no,no,telephone,1,no
28,blue-collar,single,secondary education,no,no,telephone,1,no
44,technician,married,primary education,yes,no,telephone,4,no
50,services,single,primary education,yes,no,telephone,2,no
47,services,divorced,secondary education,no,no,telephone,1,no
33,blue-collar,single,primary education,no,no,telephone,1,no
36,technician,married,professional education,yes,no,telephone,1,no
30,blue-collar,divorced,secondary education,no,yes,telephone,1,no
34,administration,single,secondary education,no,no,telephone,3,no
35,entrepreneur,married,primary education,yes,no,telephone,2,no
37,technician,married,professional education,yes,no,telephone,1,no
31,blue-collar,married,professional education,no,no,telephone,8,no
53,blue-collar,married,primary education,no,no,telephone,1,no
49,blue-collar,married,secondary education,no,yes,telephone,2,no
47,services,married,secondary education,yes,no,telephone,1,no
55,administration,married,secondary education,yes,yes,telephone,1,no
48,administration,married,secondary education,yes,no,telephone,1,no
38,administration,single,university education,no,no,telephone,1,yes
29,administration,single,university education,no,no,telephone,1,no
54,administration,married,university education,no,no,telephone,1,no
36,blue-collar,married,primary education,no,no,telephone,1,no
32,blue-collar,married,primary education,no,no,telephone,1,no
24,blue-collar,married,secondary education,no,no,telephone,1,no
27,blue-collar,married,secondary education,no,no,telephone,1,no
28,administration,married,secondary education,no,no,telephone,1,no
37,self-employed,married,secondary education,no,no,telephone,1,no
36,technician,married,university education,no,no,telephone,1,no
40,administration,single,university education,no,no,telephone,1,no
27,self-employed,single,university education,no,no,telephone,3,no
25,blue-collar,married,secondary education,no,no,telephone,1,no
42,services,married,secondary education,no,yes,telephone,3,no
36,services,divorced,university education,no,no,telephone,1,no
39,unemployed,married,university education,no,no,telephone,2,no
32,self-employed,married,professional education,no,no,telephone,1,no
30,technician,married,secondary education,no,no,telephone,1,no
32,blue-collar,married,primary education,no,no,telephone,1,no
34,administration,married,university education,yes,yes,telephone,1,no
30,blue-collar,single,primary education,no,no,telephone,1,no
50,management,single,university education,no,no,telephone,1,no
54,blue-collar,married,secondary education,no,no,telephone,1,no
47,housemaid,single,primary education,no,no,telephone,1,no
32,self-employed,married,professional education,no,yes,telephone,1,no
56,technician,married,professional education,no,no,telephone,1,no
30,administration,single,secondary education,yes,no,telephone,1,no
34,administration,single,secondary education,no,no,telephone,1,no
38,administration,married,university education,yes,no,telephone,9,no
35,technician,single,university education,no,no,telephone,2,no
45,blue-collar,single,primary education,no,no,telephone,1,no
32,unemployed,single,secondary education,no,no,telephone,11,no
47,blue-collar,married,primary education,yes,no,telephone,9,no
36,technician,married,university education,no,no,telephone,4,no
50,management,married,secondary education,yes,no,telephone,1,no
50,technician,married,professional education,yes,yes,telephone,1,no
25,technician,married,secondary education,no,no,telephone,5,no
31,blue-collar,married,primary education,yes,yes,telephone,1,no
38,administration,single,secondary education,no,no,telephone,1,no
45,technician,married,university education,yes,no,telephone,1,no
36,unemployed,married,secondary education,yes,no,telephone,2,no
38,technician,single,university education,no,no,telephone,1,no
53,management,married,university education,no,no,telephone,1,no
45,administration,married,secondary education,yes,no,telephone,2,no
34,management,married,university education,yes,no,telephone,2,no
47,blue-collar,married,secondary education,yes,no,telephone,1,no
49,blue-collar,married,secondary education,no,yes,telephone,1,no
31,technician,single,university education,no,no,telephone,2,no
38,management,married,secondary education,yes,no,telephone,1,no
57,retired,single,professional education,no,yes,telephone,1,no
49,blue-collar,married,secondary education,yes,no,telephone,31,no
51,blue-collar,married,primary education,yes,no,telephone,1,no
39,administration,divorced,secondary education,no,no,telephone,1,no
54,management,married,university education,yes,no,telephone,1,no
52,services,married,secondary education,yes,no,telephone,2,no
46,blue-collar,married,university education,yes,yes,telephone,5,no
41,technician,married,university education,no,no,telephone,2,no
38,blue-collar,married,secondary education,yes,no,telephone,4,no
37,blue-collar,married,secondary education,yes,no,telephone,1,no
31,services,married,secondary education,yes,no,telephone,1,no
48,blue-collar,married,primary education,yes,no,telephone,1,no
44,technician,divorced,professional education,no,yes,telephone,2,no
36,technician,single,university education,yes,no,telephone,1,no
27,entrepreneur,single,university education,no,no,telephone,3,no
35,blue-collar,married,secondary education,yes,no,telephone,1,no
33,blue-collar,married,secondary education,no,yes,telephone,1,no
37,technician,married,professional education,yes,yes,telephone,1,no
36,technician,married,secondary education,no,no,telephone,1,no
39,blue-collar,married,primary education,yes,no,telephone,1,no
33,entrepreneur,married,university education,yes,no,telephone,2,no
30,blue-collar,married,primary education,no,no,telephone,1,no
42,blue-collar,married,secondary education,no,no,telephone,1,no
32,management,single,university education,yes,no,telephone,2,no
37,administration,married,secondary education,yes,no,telephone,1,no
39,unemployed,married,secondary education,yes,no,telephone,5,no
42,blue-collar,divorced,secondary education,yes,no,telephone,1,no
30,technician,single,university education,no,no,telephone,2,no
33,unemployed,divorced,professional education,yes,no,telephone,1,no
39,blue-collar,married,secondary education,yes,no,telephone,2,no
43,technician,married,professional education,no,no,telephone,1,no
56,housemaid,divorced,primary education,yes,no,telephone,5,no
38,administration,married,university education,no,yes,telephone,2,no
51,blue-collar,married,primary education,no,yes,telephone,1,yes
44,administration,divorced,secondary education,no,no,telephone,2,no
36,management,married,university education,yes,no,telephone,1,no
41,services,married,secondary education,yes,yes,telephone,1,no
32,technician,married,professional education,yes,no,telephone,1,no
47,administration,married,university education,no,yes,telephone,1,no
33,blue-collar,married,secondary education,no,yes,telephone,3,no
47,technician,married,professional education,no,no,telephone,2,no
37,blue-collar,married,primary education,no,no,telephone,2,no
45,administration,divorced,university education,yes,no,telephone,1,no
38,blue-collar,married,professional education,no,no,telephone,1,no
57,housemaid,married,primary education,no,no,telephone,1,no
31,administration,married,secondary education,yes,no,telephone,2,no
35,blue-collar,married,primary education,no,no,telephone,1,no
58,retired,married,primary education,yes,no,telephone,1,no
57,management,divorced,university education,yes,yes,telephone,2,no
30,technician,single,professional education,no,no,telephone,4,no
50,administration,married,university education,yes,no,telephone,2,no
43,unemployed,married,secondary education,yes,no,telephone,4,no
33,technician,married,university education,no,no,telephone,3,no
32,administration,single,university education,yes,no,telephone,2,no
28,entrepreneur,married,secondary education,yes,no,telephone,1,yes
30,self-employed,single,university education,no,yes,telephone,6,no
37,management,married,university education,no,no,telephone,4,yes
50,services,divorced,secondary education,no,no,telephone,2,no
31,blue-collar,married,secondary education,yes,no,telephone,3,yes
27,housemaid,married,secondary education,yes,no,telephone,4,no
35,services,single,secondary education,yes,no,telephone,2,no
50,blue-collar,married,primary education,no,no,telephone,3,no
37,technician,married,secondary education,yes,no,telephone,2,no
25,unemployed,single,secondary education,yes,no,telephone,3,no
40,administration,married,university education,yes,no,telephone,2,no
57,management,married,university education,yes,no,telephone,7,no
50,blue-collar,divorced,secondary education,no,no,telephone,6,no
43,administration,single,secondary education,no,yes,telephone,2,no
60,self-employed,married,professional education,no,no,telephone,5,no
44,technician,married,professional education,yes,no,telephone,2,no
33,services,married,secondary education,yes,no,telephone,3,yes
55,retired,married,professional education,no,yes,telephone,4,no
45,blue-collar,married,primary education,no,no,telephone,4,no
33,technician,single,professional education,yes,no,telephone,4,no
56,unemployed,divorced,university education,yes,no,telephone,3,no
54,technician,married,professional education,yes,no,telephone,2,no
53,blue-collar,married,secondary education,no,yes,telephone,8,no
41,administration,divorced,secondary education,yes,no,telephone,2,no
28,student,single,secondary education,no,no,telephone,9,no
52,blue-collar,divorced,secondary education,no,no,telephone,2,yes
27,services,single,secondary education,yes,no,telephone,2,no
28,technician,single,professional education,no,yes,telephone,2,no
40,technician,married,secondary education,yes,no,telephone,2,no
59,blue-collar,married,primary education,yes,no,telephone,2,no
41,services,married,secondary education,yes,no,telephone,3,no
32,blue-collar,married,secondary education,yes,yes,telephone,3,no
35,technician,married,professional education,yes,no,telephone,3,no
52,technician,married,secondary education,no,no,telephone,2,no
47,technician,married,professional education,yes,no,telephone,6,no
37,services,divorced,secondary education,yes,no,telephone,4,no
32,self-employed,married,secondary education,yes,yes,telephone,2,no
39,blue-collar,married,secondary education,yes,yes,telephone,2,no
33,administration,married,university education,no,yes,telephone,2,no
36,entrepreneur,single,university education,no,no,telephone,2,no
50,entrepreneur,married,university education,no,no,telephone,2,no
37,administration,single,secondary education,yes,yes,telephone,3,no
30,entrepreneur,married,professional education,yes,no,telephone,3,yes
57,self-employed,married,university education,no,no,telephone,7,no
36,blue-collar,married,professional education,yes,yes,telephone,3,no
30,self-employed,single,university education,yes,no,telephone,3,yes
33,administration,married,secondary education,no,no,telephone,2,no
50,administration,married,secondary education,yes,no,telephone,2,no
29,services,married,secondary education,no,no,telephone,2,no
46,services,married,professional education,no,no,telephone,3,no
22,services,single,primary education,yes,no,telephone,2,no
50,administration,married,secondary education,yes,no,telephone,5,no
45,management,married,university education,yes,no,telephone,7,no
47,administration,married,university education,yes,no,telephone,2,no
37,technician,married,university education,yes,no,telephone,2,no
39,unemployed,married,professional education,no,no,telephone,4,no
37,technician,married,professional education,no,no,telephone,3,no
51,services,married,secondary education,no,no,telephone,2,no
55,technician,married,secondary education,yes,no,telephone,2,no
28,administration,married,secondary education,yes,no,telephone,3,no
43,technician,married,professional education,yes,no,telephone,2,no
40,services,married,primary education,no,yes,telephone,3,no
32,services,married,secondary education,no,no,telephone,3,no
43,administration,married,university education,yes,no,telephone,6,no
56,retired,married,primary education,no,no,telephone,3,no
26,blue-collar,married,secondary education,yes,no,telephone,3,no
26,administration,married,secondary education,yes,no,telephone,2,no
36,self-employed,married,university education,yes,no,telephone,7,no
38,administration,married,university education,no,no,telephone,2,no
28,blue-collar,married,primary education,yes,no,telephone,2,no
39,administration,married,secondary education,no,no,telephone,6,no
50,management,married,primary education,no,no,telephone,3,no
40,administration,married,secondary education,no,no,telephone,5,no
50,housemaid,divorced,primary education,yes,yes,telephone,27,no
33,administration,single,secondary education,no,yes,telephone,7,no
54,administration,divorced,university education,no,no,telephone,4,no
29,administration,single,university education,no,no,telephone,6,no
33,administration,single,university education,yes,no,telephone,2,no
29,student,married,secondary education,no,yes,telephone,2,no
27,technician,single,secondary education,no,no,telephone,2,no
57,blue-collar,married,primary education,no,no,telephone,5,no
34,entrepreneur,single,professional education,no,no,telephone,2,no
28,services,single,secondary education,no,no,telephone,3,no
35,administration,married,university education,no,yes,telephone,3,no
35,self-employed,married,secondary education,yes,no,telephone,2,no
50,blue-collar,single,secondary education,no,no,telephone,2,no
45,blue-collar,married,primary education,yes,no,telephone,2,no
40,entrepreneur,married,primary education,yes,no,telephone,6,no
41,management,married,primary education,no,yes,telephone,2,no
58,administration,single,professional education,no,no,telephone,2,no
36,blue-collar,married,university education,no,no,telephone,2,no
36,administration,single,university education,no,no,telephone,10,no
37,administration,married,university education,no,no,telephone,6,no
37,technician,married,secondary education,yes,no,telephone,4,no
42,administration,married,secondary education,no,no,telephone,2,no
54,technician,married,professional education,yes,yes,telephone,4,no
39,blue-collar,married,primary education,no,no,telephone,16,no
39,administration,married,university education,no,no,telephone,9,no
30,blue-collar,married,primary education,no,no,telephone,4,no
39,entrepreneur,married,secondary education,no,no,telephone,6,no
40,services,single,secondary education,no,no,telephone,4,no
37,technician,single,secondary education,no,no,telephone,3,no
52,unemployed,married,secondary education,yes,no,telephone,2,no
43,blue-collar,married,primary education,yes,no,telephone,4,no
31,management,married,secondary education,yes,yes,telephone,2,no
42,unemployed,married,professional education,yes,no,telephone,2,no
26,administration,single,primary education,yes,yes,telephone,6,no
39,services,married,secondary education,no,no,telephone,2,no
42,management,married,secondary education,yes,no,telephone,3,no
44,services,single,secondary education,no,no,telephone,3,no
30,blue-collar,divorced,secondary education,yes,no,telephone,3,no
42,blue-collar,married,primary education,no,no,telephone,2,no
44,entrepreneur,married,primary education,no,no,telephone,2,no
44,blue-collar,married,secondary education,no,no,telephone,2,no
28,management,married,secondary education,no,no,telephone,6,no
45,blue-collar,married,primary education,no,yes,telephone,2,no
35,unemployed,divorced,primary education,yes,yes,telephone,3,no
37,technician,single,university education,yes,no,telephone,3,no
24,administration,single,university education,yes,no,telephone,21,no
30,technician,married,university education,no,no,telephone,6,no
43,blue-collar,married,primary education,yes,yes,telephone,3,no
32,technician,divorced,professional education,yes,no,telephone,3,no
36,administration,single,secondary education,yes,no,telephone,7,no
44,administration,divorced,secondary education,no,no,telephone,4,no
46,blue-collar,divorced,primary education,yes,no,telephone,3,no
45,management,married,university education,yes,no,telephone,2,no
29,technician,divorced,university education,no,yes,telephone,2,no
51,blue-collar,married,primary education,yes,no,telephone,2,no
37,blue-collar,single,university education,no,no,telephone,7,no
55,housemaid,married,university education,yes,no,telephone,3,no
38,blue-collar,divorced,primary education,yes,no,telephone,6,no
59,administration,married,university education,yes,no,telephone,2,no
32,self-employed,divorced,professional education,yes,no,telephone,3,no
58,blue-collar,married,secondary education,no,no,telephone,3,no
32,blue-collar,married,secondary education,yes,no,telephone,5,no
54,blue-collar,married,secondary education,yes,yes,telephone,7,no
38,unemployed,married,secondary education,yes,no,telephone,3,no
49,blue-collar,married,primary education,yes,no,telephone,7,no
43,services,married,secondary education,no,no,telephone,5,no
36,administration,divorced,secondary education,yes,no,telephone,4,no
52,administration,married,university education,yes,no,telephone,3,no
28,administration,single,secondary education,no,no,telephone,8,no
46,technician,divorced,professional education,no,no,telephone,2,no
31,blue-collar,married,secondary education,no,yes,telephone,2,no
38,blue-collar,married,secondary education,no,yes,telephone,3,no
50,services,married,secondary education,yes,yes,telephone,6,no
39,services,single,secondary education,yes,no,telephone,3,no
34,technician,married,university education,yes,no,telephone,2,no
30,management,single,university education,yes,no,telephone,1,no
51,technician,married,secondary education,no,yes,telephone,6,no
43,administration,married,secondary education,no,no,telephone,1,no
26,administration,single,secondary education,no,no,telephone,1,no
35,administration,married,university education,yes,no,telephone,4,no
24,entrepreneur,married,university education,yes,yes,telephone,4,no
51,blue-collar,divorced,primary education,no,no,telephone,1,no
31,unemployed,divorced,primary education,yes,no,telephone,1,no
45,entrepreneur,married,university education,no,no,telephone,9,no
30,student,single,university education,yes,no,telephone,4,no
46,unemployed,divorced,secondary education,no,no,telephone,3,no
44,administration,single,secondary education,no,no,telephone,1,no
38,blue-collar,married,primary education,no,no,telephone,1,no
30,administration,married,university education,no,yes,telephone,1,no
33,blue-collar,single,secondary education,yes,no,telephone,1,no
31,blue-collar,single,secondary education,no,no,telephone,7,no
47,blue-collar,single,primary education,no,no,telephone,1,no
36,blue-collar,single,secondary education,yes,no,telephone,1,yes
30,services,married,secondary education,yes,no,telephone,2,no
29,technician,single,secondary education,no,no,telephone,3,no
37,management,married,university education,yes,no,telephone,3,no
48,technician,married,professional education,yes,no,telephone,2,no
35,administration,divorced,secondary education,yes,no,telephone,10,no
34,administration,married,university education,yes,no,telephone,4,no
42,technician,married,primary education,yes,no,telephone,3,no
32,administration,single,secondary education,no,no,telephone,5,no
31,technician,married,professional education,no,no,telephone,2,yes
38,administration,single,university education,yes,no,telephone,2,no
30,blue-collar,married,primary education,no,no,telephone,4,no
54,housemaid,married,primary education,no,no,telephone,5,no
38,administration,single,secondary education,yes,no,telephone,5,no
25,blue-collar,single,secondary education,no,no,telephone,2,no
25,services,single,professional education,no,no,telephone,4,no
51,unemployed,divorced,university education,yes,yes,telephone,2,no
35,blue-collar,single,primary education,no,no,telephone,2,no
28,administration,single,university education,no,no,telephone,3,no
35,technician,single,professional education,no,no,telephone,3,no
51,blue-collar,single,secondary education,yes,no,telephone,2,no
28,technician,single,university education,no,no,telephone,2,no
34,services,married,secondary education,no,no,telephone,3,no
27,blue-collar,married,primary education,no,no,telephone,3,no
31,services,married,secondary education,yes,no,telephone,3,no
35,technician,married,professional education,no,no,telephone,2,yes
56,management,married,university education,no,no,telephone,4,no
31,services,single,primary education,no,no,telephone,3,no
41,blue-collar,divorced,primary education,yes,no,telephone,1,no
58,blue-collar,married,primary education,yes,no,telephone,3,no
38,blue-collar,married,primary education,no,yes,telephone,1,no
47,services,married,secondary education,yes,yes,telephone,1,no
46,blue-collar,married,primary education,no,no,telephone,1,no
56,retired,married,secondary education,no,no,telephone,1,no
47,services,married,secondary education,no,no,telephone,1,no
33,administration,single,secondary education,no,yes,telephone,1,no
55,technician,married,professional education,yes,no,telephone,1,no
47,services,married,secondary education,yes,no,telephone,1,no
56,retired,married,secondary education,yes,no,telephone,1,no
32,blue-collar,married,secondary education,no,no,telephone,1,no
41,blue-collar,married,primary education,no,no,telephone,1,no
52,self-employed,married,professional education,no,yes,telephone,1,no
43,blue-collar,married,primary education,yes,no,telephone,1,no
29,administration,married,secondary education,no,yes,telephone,8,no
41,administration,divorced,secondary education,yes,no,telephone,1,no
23,blue-collar,married,professional education,no,no,telephone,1,no
36,services,single,secondary education,no,no,telephone,1,no
35,technician,married,professional education,no,no,telephone,1,no
43,blue-collar,married,primary education,no,no,telephone,1,no
32,services,married,secondary education,yes,no,telephone,1,no
41,services,married,secondary education,yes,no,telephone,1,no
43,self-employed,married,university education,yes,yes,telephone,1,no
54,retired,single,primary education,no,no,telephone,1,no
25,administration,single,secondary education,yes,no,telephone,3,no
36,administration,married,secondary education,yes,no,telephone,1,no
36,administration,married,secondary education,yes,no,telephone,1,no
42,administration,divorced,university education,no,no,telephone,1,no
35,entrepreneur,single,professional education,no,no,telephone,1,no
50,management,married,university education,yes,no,telephone,1,no
42,administration,divorced,university education,yes,no,telephone,1,no
32,administration,married,secondary education,yes,no,telephone,1,no
32,administration,married,secondary education,no,no,telephone,1,no
51,services,married,secondary education,no,yes,telephone,1,no
39,blue-collar,divorced,secondary education,yes,no,telephone,1,no
38,blue-collar,married,secondary education,yes,no,telephone,1,no
43,blue-collar,married,primary education,yes,no,telephone,1,yes
39,blue-collar,divorced,secondary education,yes,no,telephone,1,no
41,services,married,secondary education,yes,no,telephone,1,no
34,administration,single,secondary education,no,yes,telephone,1,no
36,administration,married,secondary education,yes,yes,telephone,1,no
28,services,single,secondary education,no,no,telephone,1,no
49,housemaid,divorced,primary education,no,no,telephone,1,no
31,blue-collar,married,secondary education,no,no,telephone,1,no
25,housemaid,married,primary education,no,no,telephone,1,no
29,management,married,university education,no,no,telephone,1,yes
56,blue-collar,married,primary education,no,no,telephone,4,no
54,blue-collar,divorced,primary education,no,yes,telephone,1,no
31,administration,married,secondary education,yes,no,telephone,6,no
34,blue-collar,married,professional education,no,no,telephone,1,no
27,technician,married,university education,yes,yes,telephone,10,no
31,administration,married,secondary education,yes,no,telephone,1,no
28,administration,single,university education,yes,no,telephone,1,no
28,management,single,secondary education,no,no,telephone,2,no
26,blue-collar,married,primary education,no,no,telephone,1,no
25,services,married,secondary education,yes,no,telephone,1,no
39,technician,married,professional education,yes,yes,telephone,1,no
28,blue-collar,married,secondary education,no,no,telephone,1,no
33,administration,married,university education,yes,no,telephone,5,no
39,technician,married,professional education,no,no,telephone,1,no
55,management,single,primary education,no,no,telephone,4,no
29,management,married,university education,no,no,telephone,2,no
51,management,married,university education,yes,yes,telephone,1,no
28,blue-collar,married,secondary education,yes,no,telephone,1,no
24,blue-collar,single,primary education,no,no,telephone,1,yes
24,blue-collar,single,primary education,no,no,telephone,1,no
20,services,single,secondary education,yes,no,telephone,2,no
34,blue-collar,married,secondary education,no,no,telephone,1,no
25,blue-collar,married,secondary education,no,no,telephone,1,no
29,self-employed,married,professional education,no,no,telephone,1,no
29,self-employed,married,professional education,no,no,telephone,1,no
32,blue-collar,married,primary education,no,no,telephone,1,no
32,blue-collar,married,primary education,yes,yes,telephone,1,no
32,administration,single,university education,no,no,telephone,6,no
38,blue-collar,single,university education,yes,no,telephone,2,no
37,technician,single,university education,no,no,telephone,3,no
36,blue-collar,married,secondary education,no,no,telephone,2,no
55,management,single,primary education,yes,no,telephone,3,no
29,administration,single,secondary education,yes,no,telephone,2,no
43,blue-collar,married,primary education,yes,yes,telephone,3,no
24,services,single,secondary education,yes,no,telephone,1,no
24,services,single,secondary education,yes,no,telephone,1,no
55,blue-collar,married,primary education,no,no,telephone,1,no
38,blue-collar,married,primary education,no,no,telephone,3,no
40,administration,married,university education,no,no,telephone,29,no
41,services,married,secondary education,yes,no,telephone,2,no
29,entrepreneur,single,professional education,no,no,telephone,1,no
28,administration,married,university education,no,no,telephone,1,no
57,unemployed,married,secondary education,yes,no,telephone,1,no
57,housemaid,married,primary education,no,no,telephone,1,no
43,blue-collar,married,primary education,no,no,telephone,2,no
38,blue-collar,married,professional education,no,no,telephone,3,no
56,technician,single,university education,yes,no,telephone,1,no
52,services,single,secondary education,yes,no,telephone,1,no
25,technician,married,professional education,yes,no,telephone,2,no
31,housemaid,married,professional education,yes,no,telephone,1,no
52,services,single,secondary education,yes,no,telephone,1,no
36,administration,married,secondary education,yes,no,telephone,4,no
32,student,single,university education,yes,no,telephone,12,no
31,entrepreneur,divorced,secondary education,yes,no,telephone,3,no
28,management,married,university education,yes,no,telephone,1,yes
32,blue-collar,divorced,secondary education,no,no,telephone,11,no
41,technician,single,professional education,yes,no,telephone,1,yes
29,technician,divorced,professional education,yes,no,telephone,19,no
39,management,married,secondary education,no,no,telephone,2,no
42,management,married,university education,no,no,telephone,2,no
50,unemployed,married,secondary education,no,no,telephone,2,no
34,blue-collar,married,secondary education,no,no,telephone,6,no
32,blue-collar,single,secondary education,yes,no,telephone,2,no
44,entrepreneur,married,professional education,no,yes,telephone,14,no
42,retired,married,professional education,yes,no,telephone,17,no
48,technician,divorced,university education,yes,no,telephone,3,no
41,self-employed,married,secondary education,yes,no,telephone,7,no
32,technician,married,professional education,no,no,telephone,1,no
55,blue-collar,married,primary education,yes,no,telephone,1,no
27,administration,single,university education,no,no,telephone,7,no
41,administration,married,university education,yes,yes,telephone,3,no
43,blue-collar,married,primary education,yes,no,telephone,2,no
54,unemployed,married,secondary education,no,no,telephone,16,no
52,blue-collar,divorced,secondary education,no,no,telephone,5,no
55,management,single,primary education,yes,no,telephone,4,no
38,blue-collar,married,secondary education,no,no,telephone,2,no
42,blue-collar,married,secondary education,no,no,telephone,2,no
56,retired,married,primary education,yes,no,telephone,30,no
41,services,married,secondary education,yes,no,telephone,2,no
31,services,married,secondary education,yes,yes,telephone,2,no
40,blue-collar,married,secondary education,no,no,telephone,14,no
25,services,single,secondary education,no,no,telephone,3,no
42,administration,married,primary education,yes,no,telephone,3,no
59,retired,married,secondary education,yes,no,telephone,1,yes
24,technician,single,professional education,yes,no,telephone,2,no
44,administration,single,secondary education,no,no,telephone,3,no
